experiment_id	observation	K	emission	transitions	regime_score	score_2018_bear	score_2020q1_covid	score_bull_2020_2021	score_2022_bear	score_2024_etf_bull	ll_mean	argmax_acc	flip_count	comment
exp_001_baseline	drawdown_200	3	gaussian	homogeneous	0.284996	0.494031	0.009483	0.971985	0.868865	0.985223	nan	0.532704	39	Baseline: K=3 Gaussian on rolling-200 drawdown, mu-sort labelling. From regime_drawdown_2022.org.
exp_002_proposal_k3	trivar_r_vol5_dd200	3	mvn_full	nh_softmax_vix	0.516812	0.638185	0.211477	0.735270	0.907952	0.848428	nan	0.473942	86	Proposal: K=3 full-Sigma MVN on (r,vol5,dd200), NH-HMM softmax(VIX). Return-sort labelling.
exp_004_diag_sigma	trivar_r_vol5_dd200	3	mvn_diag	nh_softmax_vix	0.703855	0.698479	0.755346	0.788158	0.884139	0.974219	nan	0.544246	132	Phase2 robustness: exp_002 with diagonal Sigma. Do cross-channel covariance terms earn their keep?
exp_003_proposal_k4	trivar_r_vol5_dd200	4	mvn_full	nh_softmax_vix	0.666463	0.706992	0.624658	0.709576	0.901327	0.965196	nan	0.514516	96	Phase2 robustness: exp_002 at K=4. Does a 4th state earn under misclassification? thirds-bucket labels.
exp_007_diag_ddsort	trivar_r_vol5_dd200	3	mvn_diag	nh_softmax_vix	0.637047	0.424222	0.755346	0.788158	0.884139	0.974219	nan	0.552641	135	Phase3: exp_004 + drawdown-sort labels (order_channel=2). Pin bear to deep-drawdown state; targets 2018.
exp_008_diag_vixgate	trivar_r_vol5_dd200	3	mvn_diag	nh_softmax_relu_vix	0.437240	0.822989	0.059404	0.875626	0.790195	0.979521	nan	0.520811	84	Phase3: exp_004 + one-sided relu(VIX) transition gate. Calm days revert to sticky intercept; targets COVID/bull20.
exp_009_diag_pinned	trivar_r_vol5_dd200	3	mvn_diag	nh_softmax_vix	0.355663	0.728625	0.171882	0.921938	0.117848	0.867176	nan	0.338580	131	Phase3 (BL-001): exp_004 + identity-pinned state->label map (cold-start, reused on warm refits). Kills refit column swaps.
exp_003_multivariate_only	trivar_r_vol5_dd200	3	mvn_full	homogeneous	0.153273	0.837165	0.000260	0.914232	0.896122	0.982523	nan	0.565233	85	Ablation: multivariate obs alone (trivar MVN, homogeneous A). Isolates the observation channel.
exp_010_diag_homog	trivar_r_vol5_dd200	3	mvn_diag	homogeneous	0.592624	0.745726	0.315132	0.857807	0.793284	0.947721	nan	0.608255	178	Phase3 ablation: winner exp_004 minus NH (diag trivariate, homogeneous A). Does NH-VIX still earn with diagonal Sigma?
exp_004_nh_only	drawdown_200	3	gaussian	nh_softmax_vix	0.400920	0.455490	0.061991	0.972480	0.782423	0.999607	nan	0.475341	41	Ablation: NH transitions alone (drawdown-200 univariate, softmax(VIX) A). Isolates the transition.
exp_006_mvt_nh	trivar_r_vol5_dd200	3	mvt_full	nh_softmax_vix	0.382933	0.688742	0.039087	0.807213	0.915080	0.858515	nan	0.500874	29	Phase3 capstone: K=3 multivariate Student-t + NH-HMM softmax(VIX). COVID-cracker x fat-tail smoothness.
exp_005_mvt_homog	trivar_r_vol5_dd200	3	mvt_full	homogeneous	0.064532	0.770709	0.000004	0.826691	0.910270	0.997032	nan	0.577475	40	Phase3: K=3 multivariate Student-t (full Sigma, per-state nu), homogeneous A. Fat tails to crack COVID.
